"company","_freq","uname"
"University of Liverp",100,"UNIVERSITY OF LIVERP"
"Aprimo",100,"APRIMO"
"Department of Public",100,"DEPARTMENT OF PUBLIC"
"FAST",100,"FAST"
"University of Memphi",100,"UNIVERSITY OF MEMPHI"
"LG.Philips Displays",100,"LGPHILIPS DISPLAYS"
"Pink Roccade",100,"PINK ROCCADE"
"Hewlett Packard Sing",100,"HEWLETT PACKARD SING"
"Strategic Financial",100,"STRATEGIC FINANCIAL"
"Automotive",100,"AUTOMOTIVE"
"HP Brasil",100,"HP BRASIL"
"AMADEUS",100,"AMADEUS"
"Sogeti USA LLC",100,"SOGETI USA LLC"
"Shell Lubricants",100,"SHELL LUBRICANTS"
"Net2Phone",100,"NET2PHONE"
"Technology Managemen",100,"TECHNOLOGY MANAGEMEN"
"Bossard Consultants",100,"BOSSARD CONSULTANTS"
"exxonmobil",100,"EXXONMOBIL"
"General Atomics",100,"GENERAL ATOMICS"
"Wachovia Securities,",100,"WACHOVIA SECURITIES"
"University of Ljublj",100,"UNIVERSITY OF LJUBLJ"
"AT&T Business Servic",100,"AT&T BUSINESS SERVIC"
"Alcatel Microelectro",100,"ALCATEL MICROELECTRO"
"CRESA Partners",100,"CRESA PARTNERS"
"ITU",100,"ITU"
"Checkfree",100,"CHECKFREE"
"rabobank",100,"RABOBANK"
"Assicurazioni Genera",100,"ASSICURAZIONI GENERA"
"HMC",100,"HMC"
"EMAP",100,"EMAP"
"United Way of Greate",100,"UNITED WAY OF GREATE"
"Creative Labs, Inc.",100,"CREATIVE LABS INC"
"LUCENT TECHNOLOGIES",100,"LUCENT TECHNOLOGIES"
"Acme Packet",100,"ACME PACKET"
"GE Healthcare Techno",100,"GE HEALTHCARE TECHNO"
"Weil Gotshal & Mange",100,"WEIL GOTSHAL & MANGE"
"WeatherBug",100,"WEATHERBUG"
"Radian",100,"RADIAN"
"Wiltel",100,"WILTEL"
"MOBISTAR",100,"MOBISTAR"
"starbucks",100,"STARBUCKS"
"Level (3) Communicat",100,"LEVEL 3 COMMUNICAT"
"Isis Pharmaceuticals",100,"ISIS PHARMACEUTICALS"
"private practice",100,"PRIVATE PRACTICE"
"Reckitt & Colman",100,"RECKITT & COLMAN"
"EA Mobile",100,"EA MOBILE"
"Advanced Digital Bro",100,"ADVANCED DIGITAL BRO"
"RSM McGladrey, Inc.",100,"RSM MCGLADREY INC"
"Glu Mobile",100,"GLU MOBILE"
"Cadwalader, Wickersh",100,"CADWALADER WICKERSH"
"Hogeschool Utrecht",100,"HOGESCHOOL UTRECHT"
"Etnoteam S.p.A.",100,"ETNOTEAM SPA"
"Elan Computing",100,"ELAN COMPUTING"
"Cranfield School of",100,"CRANFIELD SCHOOL OF"
"Omni Hotels",100,"OMNI HOTELS"
"SUEZ",100,"SUEZ"
"ASE",100,"ASE"
"Department of Energy",100,"DEPARTMENT OF ENERGY"
"Cotelligent",100,"COTELLIGENT"
"IG&H Management Cons",100,"IG&H MANAGEMENT CONS"
"The Ken Blanchard Co",100,"THE KEN BLANCHARD CO"
"Clorox Company",100,"CLOROX COMPANY"
"Raychem Corporation",100,"RAYCHEM CORPORATION"
"Sonaecom",100,"SONAECOM"
"Mass Mutual",100,"MASS MUTUAL"
"Open Harbor",100,"OPEN HARBOR"
"Visiting Nurse Servi",100,"VISITING NURSE SERVI"
"Topnordic",100,"TOPNORDIC"
"Netgear",100,"NETGEAR"
"ExxonMobil Corporati",100,"EXXONMOBIL CORPORATI"
"Houston Chronicle",100,"HOUSTON CHRONICLE"
"Reed",100,"REED"
"MBA",100,"MBA"
"Accenture GmbH",100,"ACCENTURE GMBH"
"Kaplan, Inc.",100,"KAPLAN INC"
"Banque de France",100,"BANQUE DE FRANCE"
"CIA",100,"CIA"
"University of Kent",100,"UNIVERSITY OF KENT"
"Nival Interactive",100,"NIVAL INTERACTIVE"
"Network Engines",100,"NETWORK ENGINES"
"Long Island Universi",100,"LONG ISLAND UNIVERSI"
"University College D",100,"UNIVERSITY COLLEGE D"
"Lifetime Television",100,"LIFETIME TELEVISION"
"Cordares",100,"CORDARES"
"Danish Institute for",100,"DANISH INSTITUTE FOR"
"Pelephone",100,"PELEPHONE"
"RailCorp",100,"RAILCORP"
"TriNet",100,"TRINET"
"Activant Solutions",100,"ACTIVANT SOLUTIONS"
"Oxfam",100,"OXFAM"
"Banco Central do Bra",100,"BANCO CENTRAL DO BRA"
"Timeplex",100,"TIMEPLEX"
"DRS Technologies",100,"DRS TECHNOLOGIES"
"PRI Automation",100,"PRI AUTOMATION"
"Crawford & Company",100,"CRAWFORD & COMPANY"
"Singapore Press Hold",100,"SINGAPORE PRESS HOLD"
"NatWest Bank",100,"NATWEST BANK"
"Celera",100,"CELERA"
"RBS Lynk",100,"RBS LYNK"
"KEMA",100,"KEMA"
"Aramco",100,"ARAMCO"
"CGI Group Inc.",100,"CGI GROUP INC"
"Rock-Tenn Company",100,"ROCK TENN COMPANY"
"NCO Group",101,"NCO GROUP"
"Shire",101,"SHIRE"
"VA",101,"VA"
"Sherwin-Williams",101,"SHERWIN WILLIAMS"
"SimplexGrinnell",101,"SIMPLEXGRINNELL"
"FPL",101,"FPL"
"Darden Restaurants",101,"DARDEN RESTAURANTS"
"Intuit Canada",101,"INTUIT CANADA"
"Grupo P?o de Acucar",101,"GRUPO PO DE ACUCAR"
"Software Architects,",101,"SOFTWARE ARCHITECTS"
"Varian Semiconductor",101,"VARIAN SEMICONDUCTOR"
"Tibco Software",101,"TIBCO SOFTWARE"
"Cleveland State Univ",101,"CLEVELAND STATE UNIV"
"FCC",101,"FCC"
"Mars Incorporated",101,"MARS INCORPORATED"
"Martin Professional",101,"MARTIN PROFESSIONAL"
"LCI",101,"LCI"
"Deutsche bank",101,"DEUTSCHE BANK"
"Sidley Austin Brown",101,"SIDLEY AUSTIN BROWN"
"Talent Tree",101,"TALENT TREE"
"Mackenzie Financial",101,"MACKENZIE FINANCIAL"
"Novatel Wireless",101,"NOVATEL WIRELESS"
"Shell Chemicals",101,"SHELL CHEMICALS"
"Royal Norwegian Navy",101,"ROYAL NORWEGIAN NAVY"
"Trader Publishing",101,"TRADER PUBLISHING"
"DMS",101,"DMS"
"Gjensidige",101,"GJENSIDIGE"
"Molson Canada",101,"MOLSON CANADA"
"NCSU",101,"NCSU"
"Arthritis Foundation",101,"ARTHRITIS FOUNDATION"
"Tower Automotive",101,"TOWER AUTOMOTIVE"
"Shell Information Te",101,"SHELL INFORMATION TE"
"Zultys Technologies",101,"ZULTYS TECHNOLOGIES"
"University of Cologn",101,"UNIVERSITY OF COLOGN"
"Singapore Telecommun",101,"SINGAPORE TELECOMMUN"
"Tele2 AB",101,"TELE2 AB"
"MarketBridge",101,"MARKETBRIDGE"
