"company","_freq","uname"
"ITU",100,"ITU"
"HMC",100,"HMC"
"ASE",100,"ASE"
"MBA",100,"MBA"
"CIA",100,"CIA"
"VA",101,"VA"
"FPL",101,"FPL"
"FCC",101,"FCC"
"LCI",101,"LCI"
"DMS",101,"DMS"
"IPA",101,"IPA"
"net.com",101,"NET"
"TMG",101,"TMG"
"CP",102,"CP"
"AFP",102,"AFP"
"PDS",102,"PDS"
"WCI",102,"WCI"
"KP",102,"KP"
"Hp",102,"HP"
"ECC",102,"ECC"
"MoD",102,"MOD"
"AZ",102,"AZ"
"DFS",103,"DFS"
"DST",103,"DST"
"TSG",103,"TSG"
"asd",103,"ASD"
"F5",103,"F5"
"TBS",103,"TBS"
"klm",103,"KLM"
"bbc",103,"BBC"
"HBS",103,"HBS"
"IMA",103,"IMA"
"APV",103,"APV"
"CTP",103,"CTP"
"ASU",103,"ASU"
"DCN",104,"DCN"
"DCX",104,"DCX"
"UIC",104,"UIC"
"ACP",104,"ACP"
"ASB",105,"ASB"
"DLJ",105,"DLJ"
"CGS",105,"CGS"
"UCS",105,"UCS"
"UW",105,"UW"
"Own",105,"OWN"
"GTZ",105,"GTZ"
"APW",106,"APW"
"NCI",106,"NCI"
"BSO",106,"BSO"
"DRC",107,"DRC"
"BSB",107,"BSB"
"MMI",107,"MMI"
"ISP",107,"ISP"
"NN",107,"NN"
"UTi",107,"UTI"
"abb",107,"ABB"
"TRG",108,"TRG"
"ISG",108,"ISG"
"VUB",108,"VUB"
"CES",108,"CES"
"PMC",108,"PMC"
"ABI",108,"ABI"
"yes",109,"YES"
"AIC",109,"AIC"
"FAO",109,"FAO"
"SIS",109,"SIS"
"ESR",109,"ESR"
"MMA",109,"MMA"
"ESS",110,"ESS"
"BCV",110,"BCV"
"SRI",110,"SRI"
"RTI",110,"RTI"
"CC",110,"CC"
"ITL",110,"ITL"
"UTS",111,"UTS"
"NCH",111,"NCH"
"UHC",111,"UHC"
"RBI",111,"RBI"
"CBI",111,"CBI"
"TDS",111,"TDS"
"BSH",112,"BSH"
"MPS",112,"MPS"
"ULB",112,"ULB"
"API",112,"API"
"AEG",112,"AEG"
"IHC",113,"IHC"
"ISO",113,"ISO"
"IIT",113,"IIT"
"EMC?",114,"EMC"
"MTC",114,"MTC"
"ITN",114,"ITN"
"att",114,"ATT"
"HEB",114,"HEB"
"IMP",114,"IMP"
"SBI",114,"SBI"
"ICE",115,"ICE"
"YER",115,"YER"
"TEC",115,"TEC"
"123",115,"123"
"IPT",115,"IPT"
"NIC",115,"NIC"
"If",116,"IF"
"OSU",116,"OSU"
"WWF",116,"WWF"
"ATC",116,"ATC"
"MGH",116,"MGH"
"ABN",116,"ABN"
"cts",116,"CTS"
"cgi",117,"CGI"
"Axa",117,"AXA"
"CSM",117,"CSM"
"BIS",117,"BIS"
"RIL",117,"RIL"
"BMI",118,"BMI"
"MFA",118,"MFA"
"UOB",118,"UOB"
"IHG",118,"IHG"
"MSP",118,"MSP"
"SCE",118,"SCE"
"ups",118,"UPS"
"E.ON",118,"EON"
"Fox",118,"FOX"
"FEI",119,"FEI"
"ETI",119,"ETI"
"UHG",119,"UHG"
"NGO",120,"NGO"
"SRC",120,"SRC"
"CEI",120,"CEI"
"MKS",120,"MKS"
"GMI",120,"GMI"
"ITP",120,"ITP"
"NUS",121,"NUS"
"LMI",121,"LMI"
"EF",121,"EF"
"Art.com",121,"ART"
"TUI",121,"TUI"
"XRT",121,"XRT"
"RCA",121,"RCA"
"ISA",122,"ISA"
"SSC",122,"SSC"
"WPP",122,"WPP"
"DGA",122,"DGA"
"SPI",122,"SPI"
"CSN",123,"CSN"
"BA",123,"BA"
"RAD",123,"RAD"
"BNL",123,"BNL"
"BCS",123,"BCS"
"USP",123,"USP"
"KCI",123,"KCI"
"CEC",124,"CEC"
"LM",124,"LM"
"C&A",124,"C&A"
"YKB",124,"YKB"
"ECT",124,"ECT"
"No",124,"NO"
"VHA",124,"VHA"
"UBM",124,"UBM"
"CSG",124,"CSG"
"NLG",125,"NLG"
"Eni",125,"ENI"
"CCA",125,"CCA"
"PPR",125,"PPR"
"TMP",125,"TMP"
"DMC",125,"DMC"
"NSI",126,"NSI"
"TMI",126,"TMI"
"CQG",126,"CQG"
"BNI",126,"BNI"
"ncr",127,"NCR"
"CAS",127,"CAS"
"EMS",127,"EMS"
"TTC",127,"TTC"
"USI",127,"USI"
"TMC",128,"TMC"
"KVL",128,"KVL"
"BCX",128,"BCX"
"SDI",128,"SDI"
"CRA",128,"CRA"
"WNS",128,"WNS"
"HOK",129,"HOK"
"GFT",129,"GFT"
"BCA",129,"BCA"
"JDA",129,"JDA"
"CFS",129,"CFS"
"ABS",129,"ABS"
"SPL",129,"SPL"
"MBS",130,"MBS"
"JBA",130,"JBA"
"RIT",130,"RIT"
"TDF",130,"TDF"
"PCI",130,"PCI"
"SMG",130,"SMG"
"NSA",130,"NSA"
"adp",130,"ADP"
"BSC",131,"BSC"
"LRN",131,"LRN"
"EPA",131,"EPA"
"AGS",131,"AGS"
"BTI",131,"BTI"
"VMC",131,"VMC"
"ADM",131,"ADM"
"ATK",131,"ATK"
"TAS",132,"TAS"
"BTG",132,"BTG"
"ITI",132,"ITI"
"EBS",132,"EBS"
"ESC",132,"ESC"
"DCA",132,"DCA"
"CCE",132,"CCE"
"MEI",132,"MEI"
"IDX",132,"IDX"
"TWC",132,"TWC"
"FIS",133,"FIS"
"BBH",133,"BBH"
"DCS",133,"DCS"
"Dow",133,"DOW"
"ADS",133,"ADS"
"Sky",133,"SKY"
"SDC",133,"SDC"
"IAC",133,"IAC"
"TD",133,"TD"
"sas",134,"SAS"
"STS",134,"STS"
"3DO",134,"3DO"
"MDI",134,"MDI"
"HEC",134,"HEC"
"AIT",135,"AIT"
"MPI",135,"MPI"
"KZA",135,"KZA"
"EGL",135,"EGL"
"JPM",136,"JPM"
"DBA",136,"DBA"
"CN",136,"CN"
"STI",136,"STI"
"TRX",136,"TRX"
"ZTE",136,"ZTE"
"SMU",137,"SMU"
"NBA",138,"NBA"
"axa",138,"AXA"
"UCI",138,"UCI"
"LTX",139,"LTX"
"CEO",139,"CEO"
